"code_rome","code_compo_bloc","libelle_type_texte","position_phrase","libelle_texte"
"A1302","3","definition","1","Réalise les opérations de contrôle ou de diagnostic (surveillance, prélèvements, relevés de mesures) sur les lieux de production (élevages, abattoirs, ...) et de stockage (chambre froide, silo, ...) selon les règles d''hygiène, de sécurité et la réglementation sanitaire et environnementale."
"A1302","3","definition","2","Peut procéder à des contrôles de conformité et verbaliser les contrevenants à la réglementation."
"A1302","3","definition","3","Peut coordonner une équipe."
"A1302","4","acces_metier","1","Ce métier est accessible avec un Bac professionnel en Bio-industries de transformation ou avec un BTS Agricole en industrie alimentaire."
"A1302","4","acces_metier","2","Son accès aux Instances Vétérinaires s''effectue sur concours avec un Bac."
"A1303","3","definition","1","Conduit des études ou des projets scientifiques et technico-économiques (étude de filière, aménagement et gestion de l''eau, mise en valeur et conservation du patrimoine, ...) selon les orientations institutionnelles et projets d''aménagement du territoire, d''implantation d''exploitations et la réglementation environnementale."
"A1303","3","definition","2","Peut mettre en oeuvre des appels d''offres et procéder au contrôle des réalisations. Peut former ou sensibiliser différents publics."
"A1303","3","definition","3","Peut coordonner une équipe."
"A1303","4","acces_metier","1","Ce métier est accessible avec un Master (diplôme d''ingénieur, Master recherche, ...) en agriculture, agronomie, environnement, aménagement."
"A1303","4","acces_metier","2","Un Doctorat est requis pour les chercheurs en agronomie, génie rural, environnement, ..."
"A1303","4","acces_metier","3","Il est également accessible avec un BTS Agricole en production animale, technologies végétales, ... complété par une expérience professionnelle de 5 à 10 ans."
"A1303","4","acces_metier","4","Son accès dans les collectivités territoriales et organismes publics s''effectue sur concours."
"A1303","4","acces_metier","5","La pratique d''une langue étrangère, en particulier l''anglais, peut être requise."
"A1401","3","definition","1","Réalise des opérations simples manuelles d''entretien de cultures, de récolte de fruits et de vendange selon les règles d''hygiène, les normes environnementales et les impératifs de production (rendement, délai, ...)."
"A1401","3","definition","2","Peut réaliser des opérations de conditionnement des produits."
"A1401","4","acces_metier","1","Ce métier est accessible sans diplôme ni expérience professionnelle."
"A1401","4","acces_metier","2","Les recrutements peuvent être ouverts sur contrats de travail saisonniers."
"A1402","3","definition","1","Réalise des opérations manuelles d''entretien des cultures et de récolte de légumes (endives, champignons, ...) ou végétaux (céréales, tabac, fleurs, ...) selon les règles d''hygiène, les normes environnementales et les impératifs de production (rendement, délai, ...)."
"A1402","3","definition","2","Peut réaliser des opérations de conditionnement des produits."
"A1402","3","definition","3","Peut effectuer des préparations de commandes."
"A1402","4","acces_metier","1","Ce métier est accessible sans diplôme ni expérience professionnelle."
"A1402","4","acces_metier","2","Les recrutements peuvent être ouverts sur contrats de travail saisonniers."
"A1403","3","definition","1","Effectue des opérations simples d''élevage (distribution de nourriture, capture, ramassage, entretien des locaux, ...) selon les règles d''hygiène, de sécurité et les normes environnementales."
"A1403","3","definition","2","Peut réaliser des opérations de tri et de conditionnement de produits de l''élevage."
"A1403","3","definition","3","Peut conduire un troupeau."
"A1403","4","acces_metier","1","Ce métier est accessible sans diplôme ni expérience professionnelle."
"A1403","4","acces_metier","2","Les recrutements peuvent être ouverts sur contrat de travail saisonnier."
"A1404","3","definition","1","Réalise les opérations d''élevage aquacole (installation de naissain, suivi de la production, récolte, ...) selon les objectifs de production (quantité, qualité, variétés, ...), les règles d''hygiène et de sécurité et la réglementation environnementale."
"A1404","3","definition","2","Peut réaliser la commercialisation de produits issus de la pêche."
"A1404","3","definition","3","Peut coordonner une équipe ou diriger une exploitation aquacole."
"A1404","4","acces_metier","1","Ce métier est accessible avec un BEP Agricole ou un diplôme de niveau Bac (Brevet de Technicien Agricole, Brevet Professionnel, Bac Professionnel, ...) en aquaculture, productions aquacoles."
"A1404","4","acces_metier","2","Il est également accessible avec une expérience professionnelle en aquaculture sans diplôme particulier."
"A1404","4","acces_metier","3","Un BTS Agricole en productions aquacoles peut être demandé pour les fonctions d''encadrement."
"A1404","4","acces_metier","4","Un Brevet Professionnel de Responsable d''Exploitation Agricole -BPREA- est requis pour l''obtention de financements spécifiques (prêts bonifiés) destinés à faciliter l''installation des jeunes agriculteurs."
"A1404","4","acces_metier","5","Un ou plusieurs Certificat(s) d''Aptitude à la Conduite en Sécurité -CACES- conditionné(s) par une aptitude médicale à renouveler périodiquement peu(ven)t être requis."
"A1404","4","acces_metier","6","Le Certificat d''Initiation à la Navigation -CIN- et le premier niveau de plongée peuvent être demandés."
"A1405","3","definition","1","Réalise les opérations culturales arboricoles ou viticoles (préparation des sols, plantation, taille, ébourgeonnage, application de produits phytosanitaires, récolte, ...) selon les objectifs de production (quantité, qualité, variétés, ...) et selon les règles d''hygiène, de sécurité et les normes environnementales."
"A1405","3","definition","2","Peut réaliser les opérations de transformation, de conditionnement ou de commercialisation des produits."
"A1405","3","definition","3","Peut coordonner une équipe ou diriger une exploitation arboricole ou viticole."
"A1405","4","acces_metier","1","Ce métier est accessible avec un CAP/BEP Agricole en conduite de production agricole option vigne et vin, en production horticole option production fruitière."
"A1405","4","acces_metier","2","Il est également accessible avec une expérience professionnelle dans le secteur sans diplôme particulier."
"A1405","4","acces_metier","3","Un Bac professionnel ou BTS Agricole en viticulture-oenologie peut être demandé pour les fonctions d''encadrement en viticulture."
"A1405","4","acces_metier","4","Un Brevet Professionnel de Responsable d''Exploitation Agricole -BPREA- est requis pour l''obtention de financements spécifiques (prêts bonifiés) destinés à faciliter l''installation des jeunes agriculteurs."
"A1405","4","acces_metier","5","Un ou plusieurs Certificat(s) d''Aptitude à la Conduite En Sécurité -CACES- conditionné(s) par une aptitude médicale à renouveler périodiquement peu(vent)t être demandé(s)."
"A1406","3","definition","1","Détermine et commande les manoeuvres de déplacement d''un navire et coordonne les opérations de pêche selon les objectifs d''exploitation (quantitatifs, qualitatifs, ...), les règles d''hygiène, de sécurité et la réglementation environnementale."
"A1406","3","definition","2","Peut commercialiser les produits de la pêche."
"A1406","3","definition","3","Peut diriger un armement."
"A1406","4","acces_metier","1","Ce métier est accessible avec un certificat de capacité ou un brevet dans les secteurs de la pêche et de la navigation maritime (brevet de patron de pêche, de lieutenant de pêche, ...)."
"A1406","4","acces_metier","2","Une expérience professionnelle dans le domaine de la navigation est requise."
"A1406","4","acces_metier","3","La formation Prévention et Secours Civiques de niveau 1 -PSC1- peut être demandée."
"A1406","4","acces_metier","4","La pratique d''une langue étrangère, en particulier l''anglais, peut être requise."
"A1407","3","definition","1","Réalise les opérations d''élevage de bovins ou d''équins (soins d''entretien, reproduction, ...) selon les règles d''hygiène, de sécurité, les normes environnementales et les impératifs de production (rendement, ...)."
"A1407","3","definition","2","Peut cultiver les plantes destinées à l''alimentation des animaux (fourrages, céréales, ...)."
"A1407","3","definition","3","Peut coordonner une équipe et diriger un élevage."
"A1407","4","acces_metier","1","Ce métier est accessible avec un CAP/BEP Agricole en productions animales et agricoles, agriculture et élevage."
"A1407","4","acces_metier","2","Il est également accessible avec une expérience professionnelle en élevage sans diplôme particulier."
"A1407","4","acces_metier","3","Un Bac Professionnel ou un BTS Agricole en gestion et conduite d''exploitation agricole ou en productions animales peut être demandé pour les fonctions d''encadrement."
"A1407","4","acces_metier","4","Un Brevet Professionnel de Responsable d''Exploitation Agricole -BPREA- est requis pour l''obtention de financements spécifiques (prêts bonifiés) destinés à faciliter l''installation des jeunes agriculteurs."
"A1407","4","acces_metier","5","Des permis et habilitations spécifiques sont requis pour le transport des animaux."
"A1408","3","definition","1","Réalise les opérations d''élevage (nourrissage, soins d''entretien, reproduction, ...) sur sol, hors sol, en milieu aquatique, d''animaux rares, sauvages ou de compagnie, selon les règles d''hygiène, de sécurité, les normes environnementales et les impératifs de production."
"A1408","3","definition","2","Peut transformer et commercialiser les produits issus de l''élevage (miel, pain d''épices, fourrure, ...)."
"A1408","3","definition","3","Peut éduquer ou dresser des animaux de l''élevage (chiens, ...)."
"A1408","3","definition","4","Peut coordonner une équipe ou diriger un élevage."
"A1408","4","acces_metier","1","Ce métier est accessible avec un CAP/BEP Agricole en productions animales, élevage spécialisé (canin et félin, apiculture, ...)."
"A1408","4","acces_metier","2","Il est également accessible avec une expérience professionnelle dans le secteur sans diplôme particulier."
"A1408","4","acces_metier","3","Un certificat de capacité délivré par le Ministère de l''Agriculture ou le Ministère de l''Environnement est requis pour la détention et la vente d''animaux (domestiques, rares, sauvages, non domestiques, ...)."
"A1408","4","acces_metier","4","Les recrutements peuvent être ouverts sur contrats de travail saisonniers."
"A1409","3","definition","1","Réalise les opérations d''élevage hors-sol ou sur sol de lapins ou de volailles selon les règles d''hygiène, de sécurité, les normes environnementales et les impératifs de production."
"A1409","3","definition","2","Peut transformer et commercialiser des produits issus de l''élevage (viande, oeufs, ...)."
"A1409","3","definition","3","Peut coordonner une équipe ou diriger un élevage."
"A1409","4","acces_metier","1","Ce métier est accessible avec un CAP/BEP Agricole en productions animales et agricoles, agriculture et élevage, élevage spécialisé (aviculture, cuniculiculture, ...)."
"A1409","4","acces_metier","2","Il est également accessible avec une expérience professionnelle en élevage sans diplôme particulier."
"A1409","4","acces_metier","3","Un Bac Professionnel ou un BTS Agricole en gestion et conduite d''exploitation agricole ou en productions animales peut être demandé pour les fonctions d''encadrement."
"A1409","4","acces_metier","4","Un certificat de production, transformation et commercialisation des palmipèdes à foie gras peut être requis pour les postes de gaveur."
"A1409","4","acces_metier","5","Les recrutements peuvent être ouverts sur contrats de travail saisonniers."
"A1409","4","acces_metier","6","Un Brevet Professionnel de Responsable d''Exploitation Agricole -BPREA- est requis pour l''obtention de financements spécifiques (prêts bonifiés) destinés à faciliter l''installation des jeunes agriculteurs."
"A1410","3","definition","1","Réalise les opérations d''élevage d''ovins ou de caprins (soins d''entretien, reproduction, suivi sanitaire, ...) de plein air, hors sol, selon les règles d''hygiène, de sécurité, les normes environnementales et les impératifs de production."
"A1410","3","definition","2","Peut transformer et commercialiser des produits issus de l''élevage (fabrication de fromages, ...)."
"A1410","3","definition","3","Peut cultiver les plantes destinées à l''alimentation des animaux (fourrages, céréales, ...)."
"A1410","3","definition","4","Peut coordonner une équipe ou diriger un élevage."
"A1410","4","acces_metier","1","Ce métier est accessible avec un CAP/BEP Agricole en productions animales et agricoles, agriculture et élevage."
"A1410","4","acces_metier","2","Il est également accessible avec une expérience professionnelle en élevage sans diplôme particulier."
"A1410","4","acces_metier","3","Un Bac Professionnel ou un BTS Agricole en gestion et conduite d''exploitation agricole ou en productions animales peut être demandé pour les fonctions d''encadrement."
"A1410","4","acces_metier","4","Des formations spécifiques ou des spécialisations (titre homologué de berger, certificat de Conduite d''élevage caprin et commercialisation de produits, ...) peuvent être demandées pour les postes de berger, d''éleveurs caprins, ..."
"A1410","4","acces_metier","5","Un Brevet Professionnel de Responsable d''Exploitation Agricole -BPREA- est requis pour l''obtention de financements spécifiques (prêts bonifiés) destinés à faciliter l''installation des jeunes agriculteurs."
"A1410","4","acces_metier","6","Les recrutements peuvent être ouverts sur contrats de travail saisonniers."
"A1410","4","acces_metier","7","Des permis et habilitations spécifiques sont requis pour le transport des animaux."
"A1411","3","definition","1","Réalise les opérations d''élevage (nourrissage, reproduction, soins d''entretien, ...) de porcs en verraterie, en maternité, ou en engraissement, ... selon les règles d''hygiène, de sécurité, les normes environnementales et les impératifs de production."
"A1411","3","definition","2","Peut cultiver les plantes destinées à l''alimentation des animaux (fourrages, céréales, ...)."
"A1411","3","definition","3","Peut transformer des produits issus de l''élevage (charcuterie, ...)."
"A1411","3","definition","4","Peut coordonner une équipe ou diriger un élevage."
"A1411","4","acces_metier","1","Ce métier est accessible avec un CAP/BEP Agricole en productions animales et agricoles, agriculture et élevage."
"A1411","4","acces_metier","2","Il est également accessible avec une expérience professionnelle en élevage sans diplôme particulier."
"A1411","4","acces_metier","3","Un Bac Professionnel ou un BTS Agricole en gestion et conduite d''exploitation agricole ou en productions animales peut être demandé pour les fonctions d''encadrement."
"A1411","4","acces_metier","4","Un Brevet Professionnel de Responsable d''Exploitation Agricole -BPREA- est requis pour l''obtention de financements spécifiques (prêts bonifiés) destinés à faciliter l''installation des jeunes agriculteurs."
"A1412","3","definition","1","Réalise la fabrication et l''affinage de fromages selon les règles d''hygiène et de sécurité alimentaires, la réglementation des AOC (Appellation d''Origine Contrôlée) et les référentiels qualité de l''entreprise."
"A1412","3","definition","2","Peut effectuer des opérations de commercialisation des produits."
"A1412","3","definition","3","Peut coordonner une équipe ou gérer une entreprise (fromagerie, ...)."
"A1412","4","acces_metier","1","Ce métier est accessible avec un diplôme de niveau CAP/BEP à Bac+2 (BTSA, ...) en agriculture ou industrie laitière."
"A1412","4","acces_metier","2","Il est également accessible sans diplôme particulier ni expérience professionnelle."
"A1412","4","acces_metier","3","Un agrément délivré par la Direction des Services Vétérinaires ou la Préfecture de Police est requis pour exercer l''activité d''affineur."
"A1413","3","definition","1","Met en oeuvre ou supervise les étapes de fabrication, de conservation et de conditionnement de boissons alcoolisées (vin, bière, cidre, ...) selon les réglementations de fabrication, les réglementations AOC (Appellation d''Origine Contrôlée), les règles d''hygiène et de sécurité alimentaires et les critères qualité de l''entreprise."
"A1413","3","definition","2","Peut effectuer les opérations de vente des produits."
"A1413","3","definition","3","Peut coordonner une équipe ou gérer une structure (cidrerie, cave, ...)."
"A1413","4","acces_metier","1","Ce métier est accessible avec un diplôme de niveau CAP/ BEP à Bac+2 (BTS) dans les domaines de l''agriculture (production agricole, viticulture, ...)."
"A1413","4","acces_metier","2","Il est également accessible sans diplôme ni expérience professionnelle pour les fonctions d''ouvrier de chai, ouvrier de cidrerie, ..."
"A1413","4","acces_metier","3","Le Diplôme National d''Oenologie est exigé pour exercer en tant qu''oenologue."
"A1413","4","acces_metier","4","Un ou plusieurs Certificat(s) d''Aptitude à la Conduite En Sécurité -CACES- conditionné(s) par une aptitude médicale à renouveler périodiquement peu(vent) être exigé(s)."
"A1414","3","definition","1","Réalise les opérations de mise en culture (semis, repiquage, traitement, récolte, ...) d''espèces végétales (horticole, maraîchère, pépinière) selon les règles de sécurité et les objectifs d''exploitations (commerciaux, qualitatifs, ...)."
"A1414","3","definition","2","Peut réaliser les opérations de conditionnement des produits récoltés."
"A1414","3","definition","3","Peut coordonner une équipe ou diriger une exploitation."
"A1414","4","acces_metier","1","Ce métier est accessible avec un CAP/BEP Agricole en production horticole spécialité production florale et légumière."
"A1414","4","acces_metier","2","Il est également accessible avec une expérience professionnelle dans le secteur sans diplôme particulier."
"A1414","4","acces_metier","3","Un Bac professionnel ou BTS Agricole en production horticole peut être demandé pour les fonctions d''encadrement."
"A1414","4","acces_metier","4","Un Brevet Professionnel de Responsable d''Exploitation Agricole -BPREA- est requis pour l''obtention de financements spécifiques (prêts bonifiés) destinés à faciliter l''installation des jeunes agriculteurs."
"A1414","4","acces_metier","5","Un ou plusieurs Certificat(s) d''Aptitude à la Conduite En Sécurité -CACES- conditionné(s) par une aptitude médicale à renouveler périodiquement peu(ven)t être exigé(s)."
"A1415","3","definition","1","Réalise les opérations de pêche côtière ou de pleine mer (capture et conditionnement des prises, entretien et nettoyage du navire et des équipements, ...) selon les règles de sécurité et les objectifs d''exploitation (commerciaux, qualitatifs, ...)."
"A1415","3","definition","2","Peut coordonner un équipage."
"A1415","4","acces_metier","1","Ce métier est accessible avec un CAP de Matelot, un BEP en pêche ou en machines marines."
"A1415","4","acces_metier","2","Il est également accessible avec une expérience professionnelle dans le secteur de la pêche sans diplôme particulier."
"A1415","4","acces_metier","3","Le Certificat d''Initiation Nautique -CIN- peut en faciliter l''accès."
"A1415","4","acces_metier","4","Une bonne condition physique est requise."
"A1416","3","definition","1","Réalise les opérations de culture de plein champ (semis, traitements, récolte) de céréales et d''autres produits (pommes de terre, betteraves, tabac, tournesol, colza,) selon les objectifs de production (quantité, qualité, variétés, ...), les règles d''hygiène, de sécurité et les normes environnementales."
"A1416","3","definition","2","Peut réaliser des activités d''élevage."
"A1416","3","definition","3","Peut coordonner une équipe ou diriger une exploitation agricole."
"A1416","4","acces_metier","1","Ce métier est accessible avec un CAP/BEP en production agricole."
"A1416","4","acces_metier","2","Il est également accessible avec une expérience professionnelle dans le secteur sans diplôme particulier."
"A1416","4","acces_metier","3","Un Bac professionnel ou BTS Agricole en gestion agricole, technologies végétales peut être demandé pour les fonctions d''encadrement."
"A1416","4","acces_metier","4","Un Brevet Professionnel de Responsable d''Exploitation Agricole -BPREA- est requis pour l''obtention de financements spécifiques (prêts bonifiés) destinés à faciliter l''installation des jeunes agriculteurs."
"A1417","3","definition","1","Réalise les opérations de production de sel (entretien et maintenance des sites salins, mise en eau et régulation des niveaux d''eau, récolte, ...) selon les objectifs d''exploitation (commerciaux, qualitatifs, ...), les règles d''hygiène et de sécurité et les normes environnementales."
"A1417","3","definition","2","Peut coordonner une équipe ou diriger une exploitation salicole."
"A1417","4","acces_metier","1","Ce métier est accessible avec un BEP Agricole ou un diplôme de niveau Bac (Brevet de Technicien Agricole, Brevet Professionnel, Bac Professionnel, ...) en productions aquacoles, saliculture."
"A1417","4","acces_metier","2","Il est également accessible avec une expérience professionnelle dans le même secteur sans diplôme particulier."
"A1417","4","acces_metier","3","Un Brevet Professionnel de Responsable d''Exploitation Agricole -BPREA- est requis pour l''obtention de financements spécifiques (prêts bonifiés) destinés à faciliter l''installation des jeunes agriculteurs."
"A1417","4","acces_metier","4","Un ou plusieurs Certificat(s) d''Aptitude à la Conduite En Sécurité -CACES- conditionné(s) par une aptitude médicale à renouveler périodiquement peu(ven)t être exigé(s)."
"A1501","3","definition","1","Réalise des soins de confort animalier (préparation, distribution de nourriture, nettoyage de l''environnement, ...) selon les besoins et caractéristiques de l''animal."
"A1501","3","definition","2","Peut mener des actions d''assistance au praticien vétérinaire lors de soins vétérinaires."
"A1501","3","definition","3","Peut réaliser le suivi administratif de la structure."
"A1501","4","acces_metier","1","Ce métier est accessible avec le diplôme d''Auxiliaire Spécialisé Vétérinaire (ASV) ou le titre professionnel d''Auxiliaire Vétérinaire."
"A1501","4","acces_metier","2","Il est également accessible avec un diplôme de niveau CAP/BEP dans le secteur commercial ou agricole."
"A1501","4","acces_metier","3","Des vaccinations prévues par le Code de Santé Publique peuvent être requises."
"A1501","4","acces_metier","4","Des permis et habilitations spécifiques sont requis pour le transport des animaux."
"A1502","3","definition","1","Entretient le pied (sabot, onglon) des chevaux ou des bovins afin de garantir l''aplomb et la santé de l''animal selon ses besoins et caractéristiques et les règles de sécurité et d''hygiène."
"A1502","3","definition","2","Peut poser des ferrures pathologiques ou thérapeutiques. Peut façonner le fer en totalité."
"A1502","3","definition","3","Peut diriger une structure."
"A1502","4","acces_metier","1","Ce métier est accessible avec un CAP/BEP Agricole ou un Brevet Technique des Métiers en maréchalerie."
"A1502","4","acces_metier","2","Le permis B et un véhicule (véhicule atelier, ...) sont requis."
"A1502","4","acces_metier","3","Les vaccinations anti-tétanique et anti-rabique peuvent être requises."
"A1503","3","definition","1","Réalise des soins animaliers d''hygiène selon les besoins et les caractéristiques de l''animal et les règles d''hygiène."
"A1503","3","definition","2","Peut effectuer la préparation ou la distribution de nourriture aux animaux."
"A1503","3","definition","3","Peut diriger un salon de toilettage."
"A1503","4","acces_metier","1","Ce métier est accessible avec une expérience professionnelle auprès des animaux sans diplôme particulier."
"A1503","4","acces_metier","2","Un brevet de toiletteur canin peut en faciliter l''accès."
"A1503","4","acces_metier","3","Les vaccinations anti-rabique et anti-tétanique peuvent être requises."
"A1504","3","definition","1","Prévient, diagnostique les maladies animales et réalise les soins auprès des animaux selon les besoins médicaux, chirurgicaux et les impératifs de sécurité sanitaire."
"A1504","3","definition","2","Peut procéder à des analyses biologiques, à des examens d''exploration fonctionnelle sur des animaux."
"A1504","3","definition","3","Peut mener des actions de conseil et d''information auprès d''éleveurs en matière de production animale (hygiène, alimentation, reproduction, ...)."
"A1504","3","definition","4","Peut coordonner une équipe, diriger une structure."
"A1504","4","acces_metier","1","Ce métier est accessible avec le Diplôme d''Etat de Docteur en médecine vétérinaire."
"A1504","4","acces_metier","2","Des formations complémentaires (Certificat d''Etudes Approfondies Vétérinaires/ Diplôme d''Etudes Spécialisées Vétérinaires -CEAV/DESV- en médecine et chirurgie des équidés, en chirurgie des animaux de compagnie, en gestion de la santé et qualité en production porcine, laitière, avicole, ...) peuvent être requises."
"A1504","4","acces_metier","3","L''inscription au tableau de l''Ordre des vétérinaires est obligatoire."
"A1504","4","acces_metier","4","Des vaccinations prévues par le Code de Santé Publique sont exigées."
"A1504","4","acces_metier","5","L''exercice d’actes d’ostéopathie animale est réglementé et nécessite le passage d’une épreuve d’aptitude."
"A1504","4","acces_metier","6","La possibilité pour des non vétérinaires de pratiquer l''ostéopathie sur des animaux est possible mais juridiquement actée."
"A1504","4","acces_metier","7","Le Conseil national de l''Ordre des vétérinaires est l''institution garante des compétences pour exercer ces actes."
"B1101","3","definition","1","Conçoit et réalise ou supervise la réalisation d''oeuvres plastiques (sculpture, peinture, installation artistique, ...) sur un thème imposé ou non."
"B1101","3","definition","2","Peut organiser des expositions, mener des actions d''animation ou de formation."
"B1101","3","definition","3","Peut coordonner une équipe."
"B1101","4","acces_metier","1","Ce métier est accessible avec une formation de niveau Bac+2 (L2, DU, ...) à Master (Diplôme des Beaux Arts, Master professionnel, Master recherche, ...) dans le secteur des arts plastiques (peinture, sculpture, gravure, ...)."
